,0,1,2,3,4,5,6,7,8,9,10,11,12
C++,0.11357850690929834,0.0,0.0729867299720304,0.07341540321221825,0.06839203687788761,0.06456148780275665,0.06464934162785392,0.06880374314035329,0.07785844561693149,0.07687738468778553,0.1396362836717349,0.10143962227145768,0.09817552967686867
administrator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37741018680597516,0.0,0.0,0.0,0.0,0.0
ai,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42169665183746524,0.0,0.0,0.0
c,0.0,0.0,0.0,0.4027065938002542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer,0.0,0.0,0.0,0.0,0.37515184837358206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
css,0.0,0.0,0.400355186154772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data scientist,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661152802089627,0.0,0.0,0.0,0.0,0.0
databases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870509340298758,0.0,0.0,0.0,0.0,0.0
deep learning,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
developer,0.0,0.0,0.2758294104283781,0.0,0.0,0.0,0.0,0.0,0.294240462062322,0.0,0.5277095413692902,0.0,0.3710222184175365
django,0.6230138587422487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engineer,0.0,0.0,0.0,0.3079532150609,0.28688186292769596,0.0,0.2711825003305943,0.0,0.0,0.0,0.0,0.0,0.0
exciting,0.0,0.0,0.0,0.0,0.37515184837358206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experience,0.4292327195660457,0.0,0.0,0.13872472017959953,0.0,0.0,0.24432098537127647,0.0,0.0,0.29053286401286355,0.0,0.0,0.0
experienced,0.0,0.0,0.0,0.2013532969001271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564282558421548,0.0
expertise,0.0,0.0,0.0,0.0,0.32351721694853647,0.0,0.0,0.3254647253181292,0.0,0.0,0.0,0.0,0.0
express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385236806017805
flask,0.31150692937112434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
framework,0.2686321693128759,0.0,0.0,0.0,0.0,0.0,0.15290650809495573,0.0,0.0,0.0,0.0,0.0,0.0
frameworks,0.2686321693128759,0.0,0.0,0.0,0.0,0.0,0.15290650809495573,0.0,0.0,0.0,0.0,0.0,0.0
frontend,0.0,0.0,0.400355186154772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
git,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564282558421548,0.0
github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564282558421548,0.0
hand,0.0,0.0,0.0,0.0,0.0,0.0,0.177310993464987,0.0,0.0,0.0,0.0,0.0,0.0
hands,0.0,0.0,0.0,0.0,0.0,0.0,0.177310993464987,0.0,0.0,0.0,0.0,0.0,0.0
hire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870509340298758,0.0,0.0,0.0,0.0,0.0
hiring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870509340298758,0.0,0.0,0.0,0.0,0.0
html,0.0,0.0,0.400355186154772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intelligence,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
javascript,0.0,0.0,0.34525165257009544,0.0,0.0,0.0,0.0,0.0,0.3682964975425753,0.0,0.0,0.0,0.0
join,0.0,0.0,0.34525165257009544,0.0,0.0,0.0,0.30581301618991147,0.0,0.0,0.0,0.0,0.0,0.0
knowledge,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
language,0.0,0.0,0.0,0.17363971021055136,0.0,0.30539743820318627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
languages,0.0,0.0,0.0,0.2013532969001271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37741018680597516,0.0,0.0,0.0,0.0,0.0
learn,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
look,0.195337282879316,0.0,0.0,0.0,0.0,0.1110356699450866,0.0,0.0,0.0,0.0,0.24015258684096216,0.17446029825550122,0.16884656907518467
looking,0.195337282879316,0.0,0.0,0.0,0.0,0.1110356699450866,0.0,0.0,0.0,0.0,0.24015258684096216,0.17446029825550122,0.16884656907518467
machine learning,0.0,0.29504634530623136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870509340298758,0.0,0.0,0.0,0.0,0.0
managing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870509340298758,0.0,0.0,0.0,0.0,0.0
manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42169665183746524,0.0,0.0,0.0
mysql,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3254647253181292,0.3682964975425753,0.0,0.0,0.0,0.0
natural,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opencv,0.0,0.0,0.0,0.0,0.37515184837358206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opening,0.0,0.0,0.0,0.4027065938002542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opportunity,0.0,0.0,0.0,0.0,0.32351721694853647,0.0,0.0,0.0,0.3682964975425753,0.0,0.0,0.0,0.0
php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682964975425753,0.0,0.0,0.0,0.46440310280886027
processing,0.0,0.0,0.0,0.0,0.0,0.35414008104770334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
